,carat,cut,color,clarity,depth,table,price,x,y,z
1005,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
1006,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
1007,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
1008,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
2025,1.52,Good,E,I1,57.3,58.0,3105,7.53,7.42,4.28
2183,1.0,Fair,E,SI2,67.0,53.0,3136,6.19,6.13,4.13
2820,1.0,Fair,F,SI2,65.1,55.0,3265,6.26,6.23,4.07
3156,0.9,Very Good,I,VS2,58.4,62.0,3334,6.29,6.35,3.69
3704,1.0,Ideal,E,SI2,62.9,56.0,3450,6.32,6.3,3.97
3981,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08
4386,0.31,Good,D,SI1,63.5,56.0,571,4.29,4.31,2.73
4493,1.0,Ideal,I,SI2,58.8,55.0,3629,6.53,6.46,3.82
4520,1.0,Premium,G,SI1,60.1,61.0,3634,6.44,6.4,3.86
5175,1.04,Premium,I,SI2,62.0,57.0,3774,6.53,6.47,4.03
5665,1.0,Premium,F,SI1,59.4,62.0,3881,6.55,6.52,3.88
6337,1.0,Premium,H,SI2,61.0,57.0,4032,6.51,6.4,3.94
7711,0.33,Ideal,E,SI1,62.5,55.0,579,4.42,4.45,2.77
7744,1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23
8331,1.09,Premium,H,SI2,61.2,62.0,4395,6.63,6.58,4.04
8601,1.03,Good,D,SI1,64.3,58.0,4441,6.31,6.28,4.05
9196,1.31,Premium,H,SI2,61.7,59.0,4548,7.03,6.98,4.32
9593,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05
10180,1.22,Premium,I,SI2,61.5,61.0,4735,6.89,6.83,4.22
10363,1.23,Ideal,I,SI2,62.3,55.0,4773,6.85,6.82,4.26
10472,1.01,Fair,F,VS2,64.8,56.0,4791,6.3,6.25,4.07
11009,1.1,Premium,H,SI1,63.0,58.0,4916,6.6,6.55,4.14
11243,1.1,Premium,E,SI2,59.1,60.0,4967,6.77,6.7,3.98
11315,1.23,Ideal,J,VS2,61.8,56.0,4986,6.87,6.81,4.23
12266,1.5,Good,H,SI2,64.0,61.0,5208,7.18,7.14,4.58
12293,1.21,Premium,H,SI2,61.9,55.0,5218,6.84,6.79,4.22
12644,1.01,Premium,H,VS1,61.2,61.0,5294,6.44,6.41,3.93
13860,1.0,Very Good,D,SI1,63.1,56.0,5645,6.34,6.3,3.99
14002,1.2,Premium,I,VS2,62.6,58.0,5699,6.77,6.72,4.22
14922,1.5,Good,G,SI2,57.5,63.0,6006,7.53,7.49,4.32
15012,1.51,Good,I,SI1,63.8,57.0,6046,7.21,7.18,4.59
15317,1.3,Very Good,F,SI2,61.1,58.0,6149,6.98,7.02,4.28
15455,1.21,Very Good,H,VS2,62.9,57.0,6189,6.75,6.8,4.26
16269,1.21,Premium,D,SI2,62.5,57.0,6505,6.79,6.71,4.22
17138,1.5,Fair,H,SI1,65.0,57.0,6838,7.1,7.06,4.6
17555,1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64
18689,1.5,Premium,F,SI2,58.5,60.0,7644,7.52,7.48,4.39
19676,1.51,Ideal,G,SI1,61.6,56.0,8283,7.34,7.25,4.5
20629,1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
21047,0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71
21602,1.5,Good,I,VS1,57.2,62.0,9702,7.64,7.61,4.36
21783,2.05,Premium,I,SI2,62.0,58.0,9850,8.13,8.08,5.02
22146,2.01,Fair,H,SI2,64.9,56.0,10184,7.88,7.81,5.09
22148,2.01,Good,I,SI1,64.1,60.0,10184,7.92,7.88,5.06
22375,0.31,Ideal,H,VS2,63.0,57.0,628,4.34,4.32,2.73
22392,2.0,Good,G,SI2,64.3,60.0,10416,7.87,7.83,5.05
22809,2.0,Premium,G,SI2,60.7,60.0,10833,8.13,8.07,4.92
22852,2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15
23329,1.51,Premium,F,SI1,62.2,58.0,11374,7.32,7.27,4.54
23735,2.01,Very Good,H,SI2,63.4,60.0,11780,7.97,7.89,5.03
23979,2.1,Good,H,SI1,63.7,61.0,12121,8.1,8.07,5.15
24161,2.01,Premium,I,SI2,62.0,56.0,12338,8.01,7.87,4.92
24863,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
25339,2.3,Premium,H,SI2,60.6,59.0,14042,8.4,8.37,5.08
25942,1.8,Ideal,H,VS1,62.3,56.0,15105,7.79,7.76,4.84
26071,2.05,Premium,G,SI1,61.6,59.0,15291,8.2,8.16,5.04
26415,2.01,Premium,I,VS2,60.3,62.0,15939,8.13,8.08,4.89
26554,2.66,Good,H,SI2,63.8,57.0,16239,8.71,8.65,5.54
26608,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
27027,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27
27047,0.32,Ideal,H,VVS2,61.8,55.0,645,4.38,4.42,2.72
27516,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
27518,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
27764,0.32,Premium,H,VS2,60.6,58.0,648,4.47,4.44,2.7
28080,0.4,Ideal,J,VVS2,61.8,55.0,662,4.76,4.79,2.95
28116,0.36,Ideal,D,SI1,62.7,57.0,663,4.54,4.59,2.86
28325,0.33,Ideal,G,VS1,62.1,55.0,666,4.43,4.46,2.76
28341,0.33,Ideal,G,VS1,62.1,56.0,666,4.4,4.42,2.74
28593,0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
29029,0.31,Ideal,H,VVS1,61.6,55.0,687,4.37,4.4,2.7
29508,0.32,Ideal,E,VS2,62.1,55.0,702,4.36,4.4,2.72
29591,0.32,Ideal,D,SI1,62.9,56.0,706,4.4,4.38,2.76
29657,0.35,Ideal,F,VS2,61.4,54.0,706,4.54,4.58,2.8
29802,0.3,Premium,D,SI1,62.2,58.0,709,4.31,4.28,2.67
30163,0.4,Very Good,D,SI1,63.0,57.0,720,4.66,4.7,2.95
30392,0.33,Ideal,H,VVS1,61.7,55.0,730,4.48,4.5,2.77
30513,0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73
30577,0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7
30668,0.4,Premium,F,SI1,62.5,59.0,737,4.67,4.71,2.93
30885,0.33,Ideal,E,SI1,62.5,55.0,743,4.45,4.42,2.77
31253,0.46,Ideal,F,SI2,61.5,54.0,758,4.98,5.01,3.07
31324,0.32,Ideal,D,VS2,61.6,56.0,758,4.37,4.4,2.7
31627,0.3,Ideal,H,SI1,62.2,57.0,450,4.26,4.29,2.66
31629,0.3,Ideal,H,SI1,62.2,57.0,450,4.27,4.28,2.66
32250,0.31,Ideal,H,IF,62.2,54.0,789,4.38,4.4,2.73
32651,0.31,Ideal,H,VVS2,62.4,57.0,802,4.36,4.32,2.71
33034,0.32,Ideal,G,VVS1,61.2,55.0,814,4.41,4.44,2.71
33381,0.41,Premium,G,VS2,61.4,59.0,827,4.75,4.79,2.93
33423,0.32,Ideal,H,VVS2,61.8,55.0,828,4.42,4.38,2.72
33808,0.32,Ideal,E,VVS2,62.3,56.0,842,4.37,4.4,2.73
34064,0.36,Ideal,D,SI1,62.7,57.0,851,4.59,4.54,2.86
34159,0.33,Ideal,G,VS1,62.1,55.0,854,4.46,4.43,2.76
34180,0.33,Ideal,G,VS1,62.1,56.0,854,4.42,4.4,2.74
34422,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.35,2.69
34530,0.33,Ideal,G,VVS1,62.0,56.0,868,4.45,4.48,2.77
